User Id  Date Joined  Active  
  556    2019-6-20    no    
  551    2018-12-5    no    
  552    2017-8-11    no    
  910    2019-10-13   no    
  943    2015-4-15    no    
  419    2019-5-16    no    
  382    2016-5-12    no    
  339    2015-1-18    no    
  970    2018-5-20    no    
  295    2018-6-23    no    
  944    2018-9-10    no    
  904    2020-8-21    no    
  352    2020-7-9     no    
  520    2019-12-2    no    
  461    2016-9-20    no    
  983    2016-7-23    no    
  971    2020-2-22    no    
